


whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo

jzhang@jzhangs-MacBook-Pro tmp2 % whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo
100%|█████████████████████████████████████| 1.51G/1.51G [03:59<00:00, 6.75MiB/s]
[59:41.800 --> 59:43.180] 妙局
[59:43.180 --> 59:44.820] 就是有佛心呢
[59:44.820 --> 59:45.120] 啊
[59:45.120 --> 59:47.080] 它不是一个断空啊
[59:47.080 --> 59:48.580] 不是一个断空啊
[59:48.580 --> 59:49.500] 有光明
[59:49.500 --> 59:51.720] 然后有了这个光明以后呢
[59:51.720 --> 59:52.020] 啊
[59:52.020 --> 59:53.960] 然后就是有各种各种各样的这个
[59:53.960 --> 59:54.560] 这个啊
[59:54.560 --> 59:57.520] 比如说我们现在的不清净的心
[59:57.520 --> 01:00:00.300] 它透视出来的画面是六道轮回啊
[01:00:00.300 --> 01:00:02.500] 那么这个清净了以后呢
[01:00:02.500 --> 01:00:04.760] 它透视的相啊
[01:00:04.760 --> 01:00:06.700] 那就是各种各样的佛的坛成
[01:00:06.700 --> 01:00:08.040] 这些佛的坛成呢
[01:00:08.040 --> 01:00:09.180] 就叫做妙
[01:00:09.180 --> 01:00:11.280] 这叫做这个众香
[01:00:11.280 --> 01:00:12.340] 众香
[01:00:12.340 --> 01:00:13.000] 妙局啊
[01:00:13.000 --> 01:00:15.100] 这样子就不是单空了啊
[01:00:15.100 --> 01:00:16.960] 这种空心啊
[01:00:16.960 --> 01:00:17.960] 这种空心呢
[01:00:17.960 --> 01:00:22.420] 就是这个空分和民分啊
[01:00:22.420 --> 01:00:24.540] 就是这个无耳无别
[01:00:24.540 --> 01:00:28.000] 这个是非常非常非常的有意思的啊
[01:00:28.000 --> 01:00:30.360] 后面我们看看这个禅宗啊
[01:00:30.360 --> 01:00:33.060] 他怎么讲啊
[01:00:33.060 --> 01:00:36.000] 你看这个冠西啊
[01:00:36.000 --> 01:00:37.700] 这个冠西寺啊
[01:00:37.700 --> 01:00:39.000] 一个一个寺庙啊
[01:00:39.000 --> 01:00:40.860] 这个寺庙的这个方章啊
[01:00:40.860 --> 01:00:43.040] 叫做这个直仙禅师啊
[01:00:43.040 --> 01:00:46.300] 他讲这几句话是特别特别的
[01:00:46.300 --> 01:00:48.400] 这个出名啊
[01:00:48.400 --> 01:00:49.680] 禅宗里面非常出名
[01:00:49.680 --> 01:00:51.940] 如果这几个字你们证悟了
[01:00:51.940 --> 01:00:53.240] 那就证悟大圆满了
[01:00:53.240 --> 01:00:54.860] 那就证悟大收音了啊
[01:00:54.860 --> 01:00:55.860] 大家一定要知道
[01:00:55.860 --> 01:00:57.240] 他说什么呢
[01:00:57.240 --> 01:01:00.180] 他说是防无鼻落
[01:01:00.180 --> 01:01:03.000] 四眠已无门啊
[01:01:03.000 --> 01:01:04.140] 是什么意思呢
[01:01:04.140 --> 01:01:05.360] 比如说你就是
[01:01:05.360 --> 01:01:09.180] 就是就是往里面一观察啊
[01:01:09.180 --> 01:01:11.000] 一证悟的时候呢
[01:01:11.000 --> 01:01:13.080] 然后这个心啊
[01:01:13.080 --> 01:01:14.240] 内心啊
[01:01:14.240 --> 01:01:16.760] 就是完全是就大通了
[01:01:16.760 --> 01:01:17.920] 大通了啊
[01:01:17.920 --> 01:01:21.300] 就是内心跟外面的这个虚空啊
[01:01:21.300 --> 01:01:23.820] 就是他是就就融成一片了
[01:01:23.820 --> 01:01:25.320] 大成一片了啊
[01:01:25.320 --> 01:01:26.900] 根本就没有个什么
[01:01:26.900 --> 01:01:29.900] 这个东南西北商辖的这个概念
[01:01:29.900 --> 01:01:30.260] 所以呢
[01:01:30.260 --> 01:01:34.000] 比如说我们现在就在这个房间里面啊
[01:01:34.000 --> 01:01:36.060] 师方都有都有都有墙
[01:01:36.060 --> 01:01:37.740] 我们出不去啊
[01:01:37.740 --> 01:01:38.820] 人就是就
[01:01:38.820 --> 01:01:41.160] 人就塑在这个房间里面啊
[01:01:41.160 --> 01:01:42.400] 他出不去的啊
[01:01:42.400 --> 01:01:44.940] 那么你证悟了以后呢
[01:01:44.940 --> 01:01:47.660] 才是真正的就就获得了
[01:01:47.660 --> 01:01:50.180] 这个绝对的这个自由啊
[01:01:50.180 --> 01:01:51.360] 这个时候呢
[01:01:51.360 --> 01:01:53.680] 比如说我们在这个地球上啊
[01:01:53.680 --> 01:01:55.140] 有一个东南西北啊
[01:01:55.140 --> 01:01:57.660] 那你到了这个外太空的时候呢
[01:01:57.660 --> 01:01:59.640] 哪里有什么东南西北啊
[01:01:59.640 --> 01:02:01.760] 就是我们证悟的时候呢
[01:02:01.760 --> 01:02:03.520] 这个大破了这个时
[01:02:03.520 --> 01:02:05.660] 这个时间和空间啊
[01:02:05.660 --> 01:02:07.100] 全部大破了以后呢
[01:02:07.100 --> 01:02:11.060] 进入到这样子的没有时空的这个境界的时候呢
[01:02:11.060 --> 01:02:14.820] 那这些这些周边的这个这个墙壁啊
[01:02:14.820 --> 01:02:16.300] 全部给他拆开了
[01:02:16.300 --> 01:02:18.080] 拆掉一样啊
[01:02:18.080 --> 01:02:20.920] 然后你自由就已经是自由了
[01:02:20.920 --> 01:02:21.660] 然后呢
[01:02:21.660 --> 01:02:24.540] 你根本就是没有什么东西阻碍
[01:02:24.540 --> 01:02:30.280] 内心就得到了一个这样子的绝对的自由
[01:02:30.280 --> 01:02:33.260] 这个你们随时都可以感觉得的
[01:02:33.260 --> 01:02:35.380] 就这么一观察的时候呢
[01:02:35.380 --> 01:02:37.640] 就自己的心啊
[01:02:37.640 --> 01:02:39.760] 如果刚才讲了
[01:02:39.760 --> 01:02:41.320] 加心啊等等啊
[01:02:41.320 --> 01:02:42.980] 都修得很到位的话
[01:02:42.980 --> 01:02:44.440] 根本就不需要什么
[01:02:44.440 --> 01:02:46.760] 一看就看到了啊
[01:02:46.760 --> 01:02:47.940] 看到了什么
[01:02:47.940 --> 01:02:49.400] 看到了心的本性
[01:02:49.400 --> 01:02:52.260] 就是比如说你在空中啊
[01:02:52.260 --> 01:02:54.520] 比如说一个人啊
[01:02:54.520 --> 01:02:55.660] 你在这个空中
[01:02:55.660 --> 01:02:56.640] 然后呢
[01:02:56.640 --> 01:02:58.360] 你人在空中的时候呢
[01:02:58.360 --> 01:03:00.320] 突然间这个四面的
[01:03:00.320 --> 01:03:02.580] 所有的这些墙壁啊
[01:03:02.580 --> 01:03:03.320] 全部拆开
[01:03:03.320 --> 01:03:05.880] 那就人就在这个空间了
[01:03:05.880 --> 01:03:07.560] 没有一个东南西北
[01:03:07.560 --> 01:03:09.360] 没有一个可以抓的地方啊
[01:03:09.360 --> 01:03:10.440] 就是这样子
[01:03:10.440 --> 01:03:11.800] 正午的时候呢
[01:03:11.800 --> 01:03:13.700] 然后东南西北啊
[01:03:13.700 --> 01:03:15.360] 这些念头啊
[01:03:15.360 --> 01:03:16.640] 这些执着啊
[01:03:16.640 --> 01:03:17.640] 全部消失
[01:03:17.640 --> 01:03:21.100] 然后四面已无闷
[01:03:21.100 --> 01:03:21.840] 闷
[01:03:21.840 --> 01:03:23.600] 比如说我们现在呢
[01:03:23.600 --> 01:03:25.900] 就在一个这样子的房间里面
[01:03:25.900 --> 01:03:26.280] 然后呢
[01:03:26.280 --> 01:03:27.120] 有门啊
[01:03:27.120 --> 01:03:28.540] 把这个门一灌啊
[01:03:28.540 --> 01:03:29.980] 人就出不去了啊
[01:03:29.980 --> 01:03:32.360] 他说没有这样子的门啊
[01:03:32.360 --> 01:03:33.920] 没有这样子的门
[01:03:33.920 --> 01:03:36.320] 没有这样子的门也没有啊
[01:03:36.320 --> 01:03:37.480] 枪壁也没有
[01:03:37.480 --> 01:03:38.600] 尾枪也没有
[01:03:38.600 --> 01:03:39.800] 什么也没有啊
[01:03:39.800 --> 01:03:41.720] 那么就是你一个人
[01:03:41.720 --> 01:03:44.720] 就是到了外太空的时候一样啊
[01:03:44.720 --> 01:03:46.500] 你往什么地方看
[01:03:46.500 --> 01:03:48.720] 都看不到一个东南西北啊
[01:03:48.720 --> 01:03:53.040] 完全就是人就融化到我们的心意
[01:03:53.040 --> 01:03:54.240] 说我们的心
[01:03:54.240 --> 01:03:55.520] 说人也好啊
[01:03:55.520 --> 01:03:58.360] 就完全就是融化在这个
[01:03:58.360 --> 01:04:00.700] 这个虚空当中了啊
[01:04:00.700 --> 01:04:02.120] 虚空当中了
[01:04:02.120 --> 01:04:02.440] 所以呢
[01:04:02.440 --> 01:04:06.140] 四面已无门啊
[01:04:06.140 --> 01:04:10.060] 那这个前面的这两句啊
[01:04:10.060 --> 01:04:11.280] 讲什么呢
[01:04:11.280 --> 01:04:13.600] 就讲这个回能讲的
[01:04:13.600 --> 01:04:15.940] 本来无一物
[01:04:15.940 --> 01:04:17.660] 本来无忧啊
[01:04:17.660 --> 01:04:21.180] 物沟光尊者的七报藏轮里面的这个
[01:04:21.180 --> 01:04:22.900] 发界报藏轮
[01:04:22.900 --> 01:04:25.520] 整个一本书啊
[01:04:25.520 --> 01:04:27.840] 都是就是禅书啊
[01:04:27.840 --> 01:04:28.700] 这样子的意思
[01:04:28.700 --> 01:04:31.040] 十方五笔落
[01:04:31.040 --> 01:04:32.640] 这是一个比喻啊
[01:04:32.640 --> 01:04:36.460] 你看你十方这个墙也不存在
[01:04:36.460 --> 01:04:37.820] 墙笔不存在
[01:04:37.820 --> 01:04:39.180] 位墙不存在
[01:04:39.180 --> 01:04:40.940] 然后门也没有了啊
[01:04:40.940 --> 01:04:42.800] 那么这些都没有了以后呢
[01:04:42.800 --> 01:04:45.160] 那都是一个常开的啊
[01:04:45.160 --> 01:04:45.900] 然后呢
[01:04:45.900 --> 01:04:47.360] 四面都是常开的
[01:04:47.360 --> 01:04:48.980] 没有任何阻碍的啊
[01:04:48.980 --> 01:04:50.140] 那么这样子
[01:04:50.140 --> 01:04:51.200] 你这样子心里面
[01:04:51.200 --> 01:04:52.460] 以观察的时候呢
[01:04:52.460 --> 01:04:54.860] 就完全就感觉到一个这样子的
[01:04:54.860 --> 01:04:57.180] 大虚空啊
[01:04:57.180 --> 01:04:57.860] 大虚空
[01:04:57.860 --> 01:04:59.380] 没有没有东南西北
[01:04:59.380 --> 01:05:01.120] 没有什么阻碍
[01:05:01.120 --> 01:05:03.000] 没有任何的阻碍啊
[01:05:03.000 --> 01:05:03.880] 没有墙壁
[01:05:03.880 --> 01:05:04.920] 没有门啊
[01:05:04.920 --> 01:05:08.060] 然后到处都是通透的啊
[01:05:08.060 --> 01:05:09.000] 通透的
[01:05:09.000 --> 01:05:10.200] 然后呢
[01:05:10.200 --> 01:05:11.820] 任何一个地方啊
[01:05:11.820 --> 01:05:16.260] 任何一个地方都是没有任何这个阻碍的
[01:05:16.260 --> 01:05:16.700] 哎
[01:05:16.700 --> 01:05:17.700] 这样子的啊
[01:05:17.700 --> 01:05:19.400] 你这么一观察的时候呢
[01:05:19.400 --> 01:05:20.960] 你就就心啊
[01:05:20.960 --> 01:05:21.920] 这么往里一看
[01:05:21.920 --> 01:05:25.620] 立即就感觉到一个这样子的空啊
[01:05:25.620 --> 01:05:26.780] 这样子的空
[01:05:26.780 --> 01:05:29.500] 那么这个体会啊
[01:05:29.500 --> 01:05:31.680] 一定要深深的体会
[01:05:31.680 --> 01:05:33.360] 非常清晰的啊
[01:05:33.360 --> 01:05:34.800] 体会到啊
[01:05:34.800 --> 01:05:35.520] 然后呢
[01:05:35.520 --> 01:05:37.820] 这就叫做啊
[01:05:37.820 --> 01:05:38.660] 这个
[01:05:38.660 --> 01:05:41.340] 这叫什么呢
[01:05:41.340 --> 01:05:42.720] 这就叫做空啊
[01:05:42.720 --> 01:05:44.040] 空是这个意思啊
[01:05:44.040 --> 01:05:45.720] 非常非常的有意义
[01:05:45.720 --> 01:05:46.840] 大圆满的境界
[01:05:46.840 --> 01:05:48.800] 就是真正的大圆满境界
[01:05:48.800 --> 01:05:49.880] 就是这样子啊
[01:05:49.880 --> 01:05:54.100] 然后后面就就就就
[01:05:54.100 --> 01:05:55.960] 后面的两句话
[01:05:55.960 --> 01:05:56.780] 讲
[01:05:56.780 --> 01:06:00.860] 刚才麦彭隆伯奇前面讲的这个名分啊
[01:06:00.860 --> 01:06:03.180] 静罗罗赤撒撒
[01:06:03.180 --> 01:06:03.860] 啊
[01:06:03.860 --> 01:06:04.680] 就是说
[01:06:04.680 --> 01:06:06.500] 我们平时像大圆满里面
[01:06:06.500 --> 01:06:09.860] 经常就是讲赤罗罗的决心啊
[01:06:09.860 --> 01:06:11.140] 赤罗罗的决心
[01:06:11.140 --> 01:06:12.740] 他讲的就是这个啊
[01:06:12.740 --> 01:06:14.760] 静罗罗是什么呢
[01:06:14.760 --> 01:06:18.820] 是这个时候的我们的光明的这个心啊
[01:06:18.820 --> 01:06:23.140] 他已经就离开了所有的遮盖啊
[01:06:23.140 --> 01:06:26.160] 遮住他的这些所有的这些念头
[01:06:26.160 --> 01:06:27.800] 全部啊
[01:06:27.800 --> 01:06:29.720] 全部消失了
[01:06:29.720 --> 01:06:33.120] 直接就看到了他的本心
[01:06:33.120 --> 01:06:34.220] 他的本心
[01:06:34.220 --> 01:06:36.040] 他的光明的哎
[01:06:36.040 --> 01:06:39.120] 这个部分啊
[01:06:39.120 --> 01:06:39.940] 静罗罗啊
[01:06:39.940 --> 01:06:41.160] 赤沙沙
[01:06:41.160 --> 01:06:42.600] 也就是这个意思啊
[01:06:42.600 --> 01:06:44.800] 就是就是完全是这个
[01:06:44.800 --> 01:06:46.120] 比如说这个
[01:06:46.120 --> 01:06:48.440] 这个蓝天啊
[01:06:48.440 --> 01:06:51.180] 就是万里清空的时候
[01:06:51.180 --> 01:06:52.580] 没有任何东西啊
[01:06:52.580 --> 01:06:55.480] 没有一个小小的云多啊
[01:06:55.480 --> 01:06:57.620] 遮盖这个蓝天的时候
[01:06:57.620 --> 01:06:59.320] 这个时候叫什么呢
[01:06:59.320 --> 01:07:01.720] 这个时候叫做静罗罗啊
[01:07:01.720 --> 01:07:04.880] 这个时候没有任何的这个念头阻碍
[01:07:04.880 --> 01:07:07.100] 就已经看得非常清楚了啊
[01:07:07.100 --> 01:07:09.000] 这么这么已经下来的时候
[01:07:09.000 --> 01:07:10.480] 非常清楚
[01:07:10.480 --> 01:07:12.180] 然后呢
[01:07:12.180 --> 01:07:17.020] 就是这这密宗里面讲的赤罗罗的决心啊
[01:07:17.020 --> 01:07:17.920] 是这样子
[01:07:17.920 --> 01:07:20.740] 那么这后面的良居啊
[01:07:20.740 --> 01:07:22.980] 就像刚才梅普仁伯契讲的
[01:07:22.980 --> 01:07:24.960] 这个明分啊
[01:07:24.960 --> 01:07:25.640] 明分
[01:07:25.640 --> 01:07:28.640] 然后最后一句话啊
[01:07:28.640 --> 01:07:29.480] 最后一句话
[01:07:29.480 --> 01:07:30.440] 他他中介
[01:07:30.440 --> 01:07:32.380] 物可罢啊
[01:07:32.380 --> 01:07:33.220] 没有一个
[01:07:33.220 --> 01:07:35.700] 没有任何一个东西可以把握啊
[01:07:35.700 --> 01:07:38.080] 没有任何一个东西抓住的啊
[01:07:38.080 --> 01:07:40.060] 没有任何一个东西抓住
[01:07:40.060 --> 01:07:42.700] 你比如说一个人在高空当中啊
[01:07:42.700 --> 01:07:43.780] 他所有的
[01:07:43.780 --> 01:07:47.000] 他的四面八方的所有东西都拆掉去掉了啊
[01:07:47.000 --> 01:07:48.200] 那就人就是
[01:07:48.200 --> 01:07:50.460] 就是在东南西北任何一个地方
[01:07:50.460 --> 01:07:52.900] 没有一个东西可以抓住啊
[01:07:52.900 --> 01:07:54.820] 有些时候呢
[01:07:54.820 --> 01:07:56.080] 也有一个比喻
[01:07:56.080 --> 01:07:58.180] 就是说在大海里面啊
[01:07:58.180 --> 01:08:00.420] 这个船沉没的时候
[01:08:00.420 --> 01:08:03.200] 你去抓水啊
[01:08:03.200 --> 01:08:04.140] 一样啊
[01:08:04.140 --> 01:08:06.460] 抓水能抓得住吗
[01:08:06.460 --> 01:08:07.540] 没办法抓住
[01:08:07.540 --> 01:08:09.340] 所以就这样子的
[01:08:09.340 --> 01:08:10.360] 这个时候呢
[01:08:10.360 --> 01:08:12.720] 你就是往哪个方面看
[01:08:12.720 --> 01:08:14.480] 就是到了外太空的时候
[01:08:14.480 --> 01:08:16.420] 你就往后看
[01:08:16.420 --> 01:08:17.200] 往前看
[01:08:17.200 --> 01:08:19.640] 往左往哪个地方看啊
[01:08:19.640 --> 01:08:21.780] 你也分不清一个东南西北
[01:08:21.780 --> 01:08:24.560] 就是就是在这个时候呢
[01:08:24.560 --> 01:08:28.320] 没有抓没有找不到任何可以抓住的地方
[01:08:28.320 --> 01:08:31.560] 这叫做物可罢啊
[01:08:31.560 --> 01:08:35.660] 大家一定要没有一个比这个更高的啊
[01:08:35.660 --> 01:08:37.560] 大圆满大手印啊
[01:08:37.560 --> 01:08:43.020] 十房五笔罗四面一无门啊
[01:08:43.020 --> 01:08:45.800] 就是一个这样子的一个比喻
[01:08:45.800 --> 01:08:47.360] 来形容啊
[01:08:47.360 --> 01:08:50.140] 我们的内心的这个空啊
[01:08:50.140 --> 01:08:50.740] 虚空
[01:08:50.740 --> 01:08:52.100] 然后就是
[01:08:52.100 --> 01:08:54.780] 那这个虚空是不是像外面的这个
[01:08:54.780 --> 01:08:56.140] 天空一样
[01:08:56.140 --> 01:08:57.300] 什么都不存在的吗
[01:08:57.300 --> 01:08:57.940] 不是
[01:08:57.940 --> 01:09:00.700] 静罗罗赤沙沙
[01:09:00.700 --> 01:09:01.880] 谁呢
[01:09:01.880 --> 01:09:03.080] 就是这个
[01:09:03.080 --> 01:09:05.220] 麦彭仁波就讲的这个名分
[01:09:05.220 --> 01:09:06.740] 本心
[01:09:06.740 --> 01:09:08.340] 你谁在知道呢
[01:09:08.340 --> 01:09:09.580] 这个是谁知道的呀
[01:09:09.580 --> 01:09:10.740] 谁知道是这个
[01:09:10.740 --> 01:09:12.140] 刚才我们讲了啊
[01:09:12.140 --> 01:09:13.140] 四方五
[01:09:13.140 --> 01:09:14.600] 四方五笔罗
[01:09:14.600 --> 01:09:16.140] 还有就是四面
[01:09:16.140 --> 01:09:17.120] 乙无门
[01:09:17.120 --> 01:09:18.840] 谁感觉得到的呢
[01:09:18.840 --> 01:09:19.580] 那这不就是
[01:09:19.580 --> 01:09:21.180] 他不就是静罗罗吗
[01:09:21.180 --> 01:09:23.460] 然后
[01:09:23.460 --> 01:09:24.780] 这个啊
[01:09:24.780 --> 01:09:27.880] 这个其实我们讲的稍微过了一点点
[01:09:27.880 --> 01:09:28.420] 过了一点
[01:09:28.420 --> 01:09:29.300] 过了不好啊
[01:09:29.300 --> 01:09:30.340] 过了不好啊
[01:09:30.340 --> 01:09:31.940] 但是呢
[01:09:31.940 --> 01:09:32.220] 就是
[01:09:32.220 --> 01:09:35.220] 我们这一次就是这个要求
[01:09:35.220 --> 01:09:36.840] 必须要这个灌钉的啊
[01:09:36.840 --> 01:09:37.880] 今天应该这个里面
[01:09:37.880 --> 01:09:39.400] 应该没有没有灌过钉的
[01:09:39.400 --> 01:09:40.720] 前面的
[01:09:40.720 --> 01:09:42.400] 前面的一些是
[01:09:42.400 --> 01:09:44.760] 最最最最最最早的
[01:09:44.760 --> 01:09:46.160] 一两个呢
[01:09:46.160 --> 01:09:46.900] 可能没有灌钉
[01:09:46.900 --> 01:09:47.220] 也是
[01:09:47.220 --> 01:09:48.540] 也是也是可以
[01:09:48.540 --> 01:09:49.300] 后面的都
[01:09:49.300 --> 01:09:51.660] 都是必须要有灌钉的
[01:09:51.660 --> 01:09:53.940] 因为这个里面呢
[01:09:53.940 --> 01:09:55.340] 我们放了很多这个
[01:09:55.340 --> 01:09:57.720] 大收音和大圆满的内容啊
[01:09:57.720 --> 01:09:59.320] 他仅仅是禅宗的话
[01:09:59.320 --> 01:10:01.180] 他还不需要灌钉啊
[01:10:01.180 --> 01:10:03.060] 那这个就是
[01:10:03.060 --> 01:10:04.580] 这个就是啊
[01:10:04.580 --> 01:10:05.480] 这个是
[01:10:05.480 --> 01:10:06.060] 是
[01:10:06.060 --> 01:10:08.440] 很重要了啊
[01:10:08.440 --> 01:10:09.180] 我觉得我们
[01:10:09.180 --> 01:10:10.260] 在这个
[01:10:10.260 --> 01:10:11.060] 下一步
[01:10:11.060 --> 01:10:11.780] 这文字啊
[01:10:11.780 --> 01:10:12.740] 这些上面可能要
[01:10:12.740 --> 01:10:14.060] 还要做一点点
[01:10:14.060 --> 01:10:15.340] 这个调整啊
[01:10:15.340 --> 01:10:16.460] 这个就不能这么
[01:10:16.460 --> 01:10:17.980] 这么这么讲啊
[01:10:17.980 --> 01:10:19.060] 这个这么讲的话
[01:10:19.060 --> 01:10:19.940] 那没有别的
[01:10:19.940 --> 01:10:21.160] 再讲什么呢
[01:10:21.160 --> 01:10:22.280] 对
[01:10:22.280 --> 01:10:27.960] 那不证悟是你们自己的事情啊
[01:10:27.960 --> 01:10:29.840] 不证悟是真的是自己的事情
[01:10:29.840 --> 01:10:30.920] 没有办法了
[01:10:30.920 --> 01:10:33.280] 这样子不证悟就是没办法了
[01:10:33.280 --> 01:10:34.020] 自己的事情
[01:10:34.020 --> 01:10:36.180] 然后呢
[01:10:36.180 --> 01:10:38.220] 麦庞罗文博前后面再讲了啊
[01:10:38.220 --> 01:10:39.100] 麦庞罗文大师说
[01:10:39.100 --> 01:10:40.920] 这个是定解保证的里面
[01:10:40.920 --> 01:10:42.500] 我重新翻译了一下啊
[01:10:42.500 --> 01:10:43.460] 说
[01:10:43.460 --> 01:10:46.820] 入食母前控
[01:10:46.820 --> 01:10:48.860] 比如说我们这样子大族啊
[01:10:48.860 --> 01:10:51.760] 看我眼前的这个虚空啊
[01:10:51.760 --> 01:10:53.440] 我方言啊
[01:10:53.440 --> 01:10:54.220] 看这个
[01:10:54.220 --> 01:10:57.760] 这个物边物际的这个虚空啊
[01:10:57.760 --> 01:10:59.180] 这么一看的时候呢
[01:10:59.180 --> 01:11:01.800] 然后你说我没有看到呢
[01:11:01.800 --> 01:11:03.400] 也不是
[01:11:03.400 --> 01:11:05.380] 我睁开眼睛我才看
[01:11:05.380 --> 01:11:07.920] 你说我看到了什么呢
[01:11:07.920 --> 01:11:09.580] 实际上这个虚空里面
[01:11:09.580 --> 01:11:11.260] 还有什么东西可以看呢
[01:11:11.260 --> 01:11:13.220] 实际上也没有什么看到啊
[01:11:13.220 --> 01:11:15.360] 就是就是就是这样子
[01:11:15.360 --> 01:11:16.760] 这是比喻啊
[01:11:16.760 --> 01:11:17.920] 然后呢
[01:11:17.920 --> 01:11:20.560] 往里面一看的时候呢
[01:11:20.560 --> 01:11:25.060] 如这个自行以赴然啊
[01:11:25.060 --> 01:11:26.680] 然后往里面一看的时候呢
[01:11:26.680 --> 01:11:26.840] 哦
[01:11:26.840 --> 01:11:28.540] 原来是一模一样的啊
[01:11:28.540 --> 01:11:29.680] 一模一样
[01:11:29.680 --> 01:11:30.200] 然后呢
[01:11:30.200 --> 01:11:33.880] 就是我们的心跟这个外面的虚空啊
[01:11:33.880 --> 01:11:35.880] 就是就就大成一片
[01:11:35.880 --> 01:11:37.080] 大成一片
[01:11:37.080 --> 01:11:40.360] 根本就分不清楚个就内和外啊
[01:11:40.360 --> 01:11:41.680] 内和外啊
[01:11:41.680 --> 01:11:45.680] 这叫做师方物比罗啊
[01:11:45.680 --> 01:11:46.640] 四面
[01:11:46.640 --> 01:11:46.680] 四面
[01:11:46.680 --> 01:11:48.680] 亦无门啊
[01:11:48.680 --> 01:11:49.920] 这意思啊
[01:11:49.920 --> 01:11:51.200] 这个意思了
[01:11:51.200 --> 01:11:51.480] 现在
[01:11:51.480 --> 01:11:56.360] 实际上他们这些人都在讲一个
[01:11:56.360 --> 01:11:58.020] 讲一个东西啊
[01:11:58.020 --> 01:11:58.760] 一个东西
[01:11:58.760 --> 01:12:03.140] 大摩当时他来的时候呢
[01:12:03.140 --> 01:12:04.760] 就是那个时候的念
[01:12:04.760 --> 01:12:06.000] 就是那个时代
[01:12:06.000 --> 01:12:07.880] 同一个时代啊
[01:12:07.880 --> 01:12:09.120] 其实这些人
[01:12:09.120 --> 01:12:12.340] 大摩肯定是一个是一个密宗的成就者
[01:12:12.340 --> 01:12:13.340] 啊
[01:12:13.340 --> 01:12:14.340] 他们那个念
[01:12:14.340 --> 01:12:15.700] 那个那个时代
[01:12:15.700 --> 01:12:17.500] 同一个时代的那些人
[01:12:17.500 --> 01:12:19.500] 都在讲这些大跃脉呢
[01:12:19.500 --> 01:12:21.060] 他们讲的都是这些
[01:12:21.060 --> 01:12:22.200] 所以呢
[01:12:22.200 --> 01:12:24.140] 他讲的也就是这个意思啊
[01:12:24.140 --> 01:12:24.440] 所以呢
[01:12:24.440 --> 01:12:27.300] 自行以赴然啊
[01:12:27.300 --> 01:12:27.340] 啊
[01:12:27.340 --> 01:12:29.020] 那到时候呢
[01:12:29.020 --> 01:12:29.300] 啊
[01:12:29.300 --> 01:12:31.600] 大家就是心静下来啊
[01:12:31.600 --> 01:12:33.300] 翻覆的去观察啊
[01:12:33.300 --> 01:12:35.180] 其实也不是观察啊
[01:12:35.180 --> 01:12:36.780] 就是自己去按住
[01:12:36.780 --> 01:12:37.960] 然后去看啊
[01:12:37.960 --> 01:12:38.840] 观看
[01:12:38.840 --> 01:12:39.620] 观看
[01:12:39.620 --> 01:12:41.060] 不是观察啊
[01:12:41.060 --> 01:12:41.780] 啊
[01:12:41.780 --> 01:12:43.180] 然后不行啊
[01:12:43.180 --> 01:12:45.600] 那就再三的去啊
[01:12:45.600 --> 01:12:47.140] 这个修上师瑜伽
[01:12:47.140 --> 01:12:48.180] 祈祷
[01:12:48.180 --> 01:12:50.780] 祈祷莲华生大士啊
[01:12:50.780 --> 01:12:53.860] 祈祷这个所有的这些上师们啊
[01:12:53.860 --> 01:12:55.040] 法王如意包等等
[01:12:55.040 --> 01:12:56.460] 然后呢
[01:12:56.460 --> 01:12:57.880] 再去看啊
[01:12:57.880 --> 01:12:58.760] 再去看啊
[01:12:58.760 --> 01:13:00.720] 如果实在是不行了啊
[01:13:00.720 --> 01:13:02.000] 那得得回去啊
[01:13:02.000 --> 01:13:03.700] 要好好的禅会啊
[01:13:03.700 --> 01:13:05.100] 这个是禅宗也这么说
[01:13:05.100 --> 01:13:07.180] 汉山大士也这么讲的啊
[01:13:07.180 --> 01:13:07.980] 所以讲了
[01:13:07.980 --> 01:13:08.400] 所以呢
[01:13:08.400 --> 01:13:10.100] 就是要把这个
[01:13:10.100 --> 01:13:13.340] 可能是业障深重啊
[01:13:13.340 --> 01:13:13.840] 这样子
[01:13:13.840 --> 01:13:14.800] 这样子的话呢
[01:13:14.800 --> 01:13:15.740] 那就是这个
[01:13:15.740 --> 01:13:19.960] 就反腐的去忏悔啊
[01:13:19.960 --> 01:13:21.540] 念白自明啊
[01:13:21.540 --> 01:13:22.800] 然后就是
[01:13:22.800 --> 01:13:25.160] 又修这个菩提心啊
[01:13:25.160 --> 01:13:26.560] 上师瑜伽啊
[01:13:26.560 --> 01:13:27.240] 这些修
[01:13:27.240 --> 01:13:28.240] 修完了以后呢
[01:13:28.240 --> 01:13:29.200] 再来看啊
[01:13:29.200 --> 01:13:31.060] 看行不行啊
[01:13:31.060 --> 01:13:31.740] 然后呢
[01:13:31.740 --> 01:13:33.600] 就这么一观察的时候呢
[01:13:33.600 --> 01:13:33.880] 哇
[01:13:33.880 --> 01:13:35.600] 静下来一看啊
[01:13:35.600 --> 01:13:36.660] 就看到了
[01:13:36.660 --> 01:13:38.500] 其实眼睛啊
